id,artist,date_live,doors_time,location,address,genres,status,new,url,buy_link,image,date_created
40331,OZARK HENRY,2026-03-05,7:00 pm,den Atelier,"54 rue de Hollerich, 1740 Luxembourg",Jazz; Pop,Buy Now,,https://www.atelier.lu/shows/ozark-henry-2/,https://apps.ticketmatic.com/widgets/atelier/flow/campaign?event=649311253188&ref=#!/addtickets,https://apps.ticketmatic.com/obj/filestore/prod/10328/events/14234/image.68e8baec8ab30.320.jpg,2026-02-17T13:33:10.454565+00:00
40765,Grandbrothers,2026-03-06,7:00 pm,den Atelier,"54 rue de Hollerich, 1740 Luxembourg",Electronica,Buy Now,,https://www.atelier.lu/shows/grandbrothers-3/,https://apps.ticketmatic.com/widgets/atelier/flow/campaign?event=300082567529&ref=#!/addtickets,https://apps.ticketmatic.com/obj/filestore/prod/10328/events/14262/image.68fb92416f9b6.320.jpg,2026-02-17T13:33:10.454565+00:00
39513,Grossstadtgeflüster,2026-03-07,7:00 pm,den Atelier,"54 rue de Hollerich, 1740 Luxembourg",Electro; Pop; Punk,Buy Now,,https://www.atelier.lu/shows/grossstadtgefluster/,https://apps.ticketmatic.com/widgets/atelier/flow/campaign?event=165014369941&ref=#!/addtickets,https://apps.ticketmatic.com/obj/filestore/prod/10328/events/14195/image.684ff4b7729c6.320.jpg,2026-02-17T13:33:10.454565+00:00
40542,Maro,2026-03-08,7:00 pm,den Atelier,"54 rue de Hollerich, 1740 Luxembourg",Singer-Songwriter,Buy Now,,https://www.atelier.lu/shows/maro/,https://apps.ticketmatic.com/widgets/atelier/flow/campaign?event=942733568341&ref=#!/addtickets,https://apps.ticketmatic.com/obj/filestore/prod/10328/events/14247/image.68ed078dbfe2a.320.jpg,2026-02-17T13:33:10.454565+00:00
40785,Tom Smith,2026-03-12,7:00 pm,den Atelier,"54 rue de Hollerich, 1740 Luxembourg",Alternative Rock; Singer-Songwriter,Sold Out,,https://www.atelier.lu/shows/tom-smith/,https://apps.ticketmatic.com/widgets/atelier/flow/campaign?event=407933224258&ref=#!/addtickets,https://apps.ticketmatic.com/obj/filestore/prod/10328/events/14263/image.6909ca5326f18.320.jpg,2026-02-17T13:33:10.454565+00:00
39269,Kraftklub,2026-03-13,7:00 pm,Rockhal,"5 avenue du Rock'n'Roll, L-4361 Esch/Alzette",Indie; Rock,Sold Out,,https://www.atelier.lu/shows/kraftklub-3/,https://apps.ticketmatic.com/widgets/atelier/flow/campaign?event=394493399429&ref=#!/addtickets,https://apps.ticketmatic.com/obj/filestore/prod/10328/events/14185/image.6838274a201e1.320.jpg,2026-02-17T13:33:10.454565+00:00
39386,Alice Merton,2026-03-14,7:00 pm,den Atelier,"54 rue de Hollerich, 1740 Luxembourg",Pop; Singer-Songwriter,Buy Now,,https://www.atelier.lu/shows/alice-merton/,https://apps.ticketmatic.com/widgets/atelier/flow/campaign?event=696769125769&ref=#!/addtickets,https://apps.ticketmatic.com/obj/filestore/prod/10328/events/14191/image.68419c252c00f.320.jpg,2026-02-17T13:33:10.454565+00:00
40282,Helge Schneider,2026-03-15,7:00 pm,den Atelier,"54 rue de Hollerich, 1740 Luxembourg",Jazz; Singer-Songwriter,Buy Now,,https://www.atelier.lu/shows/helge-schneider-4/,https://apps.ticketmatic.com/widgets/atelier/flow/campaign?event=161462381396&ref=#!/addtickets,https://apps.ticketmatic.com/obj/filestore/prod/10328/events/14223/image.68ad670add926.320.jpg,2026-02-17T13:33:10.454565+00:00
37922,Les Négresses Vertes,2026-03-19,7:00 pm,den Atelier,"54 rue de Hollerich, 1740 Luxembourg",Alternative Rock,Buy Now,,https://www.atelier.lu/shows/les-negresses-vertes/,https://apps.ticketmatic.com/widgets/atelier/flow/campaign?event=396299946726&ref=#!/addtickets,https://apps.ticketmatic.com/obj/filestore/prod/10328/events/14134/image.68de6875b68bf.320.jpg,2026-02-17T13:33:10.454565+00:00
40861,Ão,2026-03-19,8:30 pm,De Gudde Wëllen,"17 Rue du St Esprit, 1475 Luxembourg",Indie; Pop,Sold Out,,https://www.atelier.lu/shows/ao/,https://apps.ticketmatic.com/widgets/atelier/flow/campaign?event=774084699086&ref=#!/addtickets,https://apps.ticketmatic.com/obj/filestore/prod/10328/events/14269/image.690b08cd68034.320.jpg,2026-02-17T13:33:10.454565+00:00
40546,L.E.J,2026-03-20,7:00 pm,den Atelier,"54 rue de Hollerich, 1740 Luxembourg",French; Pop,Buy Now,,https://www.atelier.lu/shows/l-e-j/,https://apps.ticketmatic.com/widgets/atelier/flow/campaign?event=436558289503&ref=#!/addtickets,https://apps.ticketmatic.com/obj/filestore/prod/10328/events/14248/image.68e374ac46c68.320.jpg,2026-02-17T13:33:10.454565+00:00
39099,Hooverphonic,2026-03-21,7:00 pm,den Atelier,"54 rue de Hollerich, 1740 Luxembourg",Trip Hop,Sold Out,,https://www.atelier.lu/shows/hooverphonic-11/,https://apps.ticketmatic.com/widgets/atelier/flow/campaign?event=244149660140&ref=#!/addtickets,https://apps.ticketmatic.com/obj/filestore/prod/10328/events/14177/image.68234b26b8141.320.jpg,2026-02-17T13:33:10.454565+00:00
41031,CLAIR OBSCUR : EXPEDITION 33,2026-03-25,7:00 pm,Rockhal,"5 avenue du Rock'n'Roll, L-4361 Esch/Alzette",Immersive concert + orchestral performance,Waiting list,,https://www.atelier.lu/shows/lair-obscur-expedition-33/,https://apps.ticketmatic.com/widgets/atelier/flow/campaign?event=142968227796&ref=#!/addtickets,https://apps.ticketmatic.com/obj/filestore/prod/10328/events/14289/image.69258b4dcf6e1.320.jpg,2026-02-17T13:33:10.454565+00:00
